"taskai","vidurkis","trasos","uolos","viso_laipioja_metu","lygis","amzius_kai_pradejo","birth","ugis","svoris","lytis"
"116474","493.53","214","14","8","7B+","14","1987-02-25 00:00:00","174","58","0"
"48326","644.35","69","30","2","7B+","16","1982-07-06 00:00:00","167","58","1"
"36458","775.70","41","8","3","8A","26","1974-07-02 00:00:00","171","63","0"
"362168","963.21","375","41","22","8B+","13","1977-04-13 00:00:00","183","68","0"
"1543","385.75","4","2","1","6A","30","1969-06-16 00:00:00","186","88","0"
"20151","1007.55","18","5","2","8B","14","1981-05-04 00:00:00","181","63","0"
"3350","372.22","9","1","2","6B","23","1979-03-30 00:00:00","186","83","0"
"895327","784.00","1140","58","18","8B","15","1984-06-03 00:00:00","171","68","0"
"17568","585.60","30","6","3","7A+","19","1980-11-15 00:00:00","195","78","0"
"280665","406.17","677","51","17","7B","21","1970-11-08 00:00:00","178","68","0"
"21300","852.00","25","5","3","7C+","18","1971-10-13 00:00:00","172","58","0"
"280541","1005.52","262","37","8","8C","11","1983-10-28 00:00:00","168","58","0"
"11971","478.84","15","5","2","6C","17","1984-04-30 00:00:00","175","58","0"
"48579","445.68","94","12","9","6C+","14","1971-03-02 00:00:00","198","88","0"
"98476","565.95","148","17","11","7B+","25","1973-04-17 00:00:00","171","58","0"
"1307315","1144.76","1084","75","18","9A+","15","1981-11-09 00:00:00","159","48","0"
"166148","664.59","224","9","16","7C","24","1970-03-29 00:00:00","179","88","0"
"8540","948.89","9","4","2","8A+","20","1980-03-20 00:00:00","176","63","0"
"25204","466.74","47","5","4","6B+","23","1978-03-17 00:00:00","180","78","0"
"219256","785.86","251","47","14","8A+","17","1977-12-20 00:00:00","175","63","0"
"118945","606.86","190","27","7","7B+","20","1980-11-16 00:00:00","169","63","0"
"39778","1019.95","39","13","4","8A+","17","1970-05-16 00:00:00","178","63","0"
"56211","739.62","72","6","3","7C+","16","1970-02-14 00:00:00","182","78","0"
"319952","969.55","324","29","17","8B+","12","1984-10-27 00:00:00","186","73","0"
"255365","648.13","389","59","17","8A","20","1970-12-31 00:00:00","174","78","0"
"115369","764.03","132","19","6","8A","16","1984-09-04 00:00:00","185","68","0"
"158140","864.15","156","24","14","8B","21","1963-12-31 00:00:00","182","78","0"
"116296","830.69","129","23","12","8A","26","1965-09-24 00:00:00","169","63","0"
